Z,0.000 ,0.010 ,0.020 ,0.030 ,0.040 ,0.050 ,0.060 ,0.070 ,0.080 ,0.090 
0.000 ,0.500 ,0.496 ,0.492 ,0.488 ,0.484 ,0.480 ,0.476 ,0.472 ,0.468 ,0.464 
0.100 ,0.460 ,0.456 ,0.452 ,0.448 ,0.444 ,0.440 ,0.436 ,0.433 ,0.426 ,0.425 
0.200 ,0.421 ,0.417 ,0.413 ,0.409 ,0.405 ,0.401 ,0.397 ,0.394 ,0.390 ,0.386 
0.300 ,0.382 ,0.378 ,0.375 ,0.371 ,0.367 ,0.363 ,0.359 ,0.356 ,0.352 ,0.348 
0.400 ,0.345 ,0.341 ,0.337 ,0.334 ,0.330 ,0.326 ,0.323 ,0.319 ,0.316 ,0.312 
0.500 ,0.309 ,0.305 ,0.302 ,0.298 ,0.295 ,0.291 ,0.288 ,0.284 ,0.281 ,0.278 
0.600 ,0.274 ,0.271 ,0.268 ,0.264 ,0.261 ,0.258 ,0.255 ,0.251 ,0.248 ,0.245 
0.700 ,0.242 ,0.239 ,0.236 ,0.233 ,0.230 ,0.227 ,0.224 ,0.221 ,0.218 ,0.215 
0.800 ,0.212 ,0.209 ,0.206 ,0.203 ,0.201 ,0.198 ,0.195 ,0.192 ,0.189 ,0.187 
0.900 ,0.184 ,0.181 ,0.179 ,0.176 ,0.174 ,0.171 ,0.169 ,0.166 ,0.164 ,0.161 
1.000 ,0.159 ,0.156 ,0.154 ,0.152 ,0.148 ,0.147 ,0.145 ,0.142 ,0.140 ,0.138 
1.100 ,0.136 ,0.134 ,0.131 ,0.129 ,0.127 ,0.125 ,0.123 ,0.121 ,0.119 ,0.117 
1.200 ,0.115 ,0.113 ,0.111 ,0.109 ,0.108 ,0.106 ,0.104 ,0.102 ,0.100 ,0.099 
1.300 ,0.097 ,0.092 ,0.093 ,0.092 ,0.901 ,0.089 ,0.087 ,0.085 ,0.084 ,0.082 
1.400 ,0.081 ,0.079 ,0.078 ,0.076 ,0.075 ,0.074 ,0.072 ,0.071 ,0.069 ,0.068 
1.500 ,0.067 ,0.066 ,0.064 ,0.063 ,0.062 ,0.061 ,0.059 ,0.058 ,0.057 ,0.056 
1.600 ,0.055 ,0.054 ,0.053 ,0.052 ,0.051 ,0.050 ,0.049 ,0.048 ,0.047 ,0.046 
1.700 ,0.045 ,0.044 ,0.043 ,0.042 ,0.041 ,0.040 ,0.039 ,0.038 ,0.038 ,0.037 
1.800 ,0.036 ,0.035 ,0.034 ,0.034 ,0.033 ,0.032 ,0.031 ,0.031 ,0.030 ,0.029 
1.900 ,0.029 ,0.028 ,0.027 ,0.027 ,0.026 ,0.027 ,0.025 ,0.024 ,0.024 ,0.023 
2.000 ,0.023 ,0.022 ,0.022 ,0.021 ,0.021 ,0.020 ,0.020 ,0.019 ,0.019 ,0.018 
2.100 ,0.018 ,0.017 ,0.017 ,0.017 ,0.016 ,0.016 ,0.015 ,0.015 ,0.015 ,0.014 
2.200 ,0.014 ,0.014 ,0.013 ,0.013 ,0.013 ,0.012 ,0.012 ,0.012 ,0.011 ,0.011 
2.300 ,0.011 ,0.010 ,0.010 ,0.010 ,0.010 ,0.009 ,0.009 ,0.009 ,0.009 ,0.008 
2.400 ,0.008 ,0.008 ,0.008 ,0.008 ,0.007 ,0.007 ,0.007 ,0.007 ,0.007 ,0.006 
2.500 ,0.006 ,0.006 ,0.006 ,0.006 ,0.006 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 
2.600 ,0.005 ,0.005 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 ,0.004 
2.700 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 ,0.003 
2.800 ,0.003 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 
2.900 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.001 
3.000 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 
3.100 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 
3.200 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 
3.300 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
3.400 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
3.500 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
3.600 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
3.700 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
3.800 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
3.900 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.100 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.200 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.300 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.400 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.500 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.600 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.700 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.800 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
4.900 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
